0,1,2,3,4,5,6,7,8,label
3331691859.544611,4879809.432746246,28055392.50677958,273600531.15261644,2110297302.1288557,119770723.66070494,6771036505.529403,2919661.530013992,436185126.26568854,1.0
3331691859.544611,73700242.09043115,1725125475.4788706,1229429892.3443274,7671759072.444263,6330360922.587275,6771036505.529403,21252844.233674906,436185126.26568854,1.0
131345767.99371266,4879809.432746246,28055392.50677958,273600531.15261644,2110297302.1288557,332143168.8966718,6771036505.529403,2919661.530013992,436185126.26568854,1.0
3940760116.5110636,593744580.0939434,2350007361.6078506,273600531.15261644,3549927268.955935,2253726971.8333197,6771036505.529403,6780339362.977337,436185126.26568854,1.0
133962673.04479899,4879809.432746246,28055392.50677958,865843980.9355052,2110297302.1288557,119770723.66070494,6771036505.529403,2919661.530013992,436185126.26568854,1.0
8666138963.984962,8396334751.397321,5505273266.397556,8260177548.413124,7671759072.444263,6330360922.587275,9706101460.163204,6780339362.977337,436185126.26568854,-1.0
2150834.096997283,4879809.432746246,28055392.50677958,273600531.15261644,2110297302.1288557,6330360922.587275,6771036505.529403,2919661.530013992,436185126.26568854,1.0
95570143.52031524,4879809.432746246,735468763.9119375,273600531.15261644,2110297302.1288557,119770723.66070494,6771036505.529403,2919661.530013992,436185126.26568854,1.0
95570143.52031524,4879809.432746246,28055392.50677958,273600531.15261644,2110297302.1288557,119770723.66070494,363612227.7556801,2919661.530013992,8958299740.585426,1.0
133962673.04479899,51275717.85724266,28055392.50677958,273600531.15261644,2110297302.1288557,119770723.66070494,1320382407.2299457,2919661.530013992,436185126.26568854,1.0
2150834.096997283,4879809.432746246,28055392.50677958,273600531.15261644,94416825.79588223,119770723.66070494,6771036505.529403,2919661.530013992,436185126.26568854,1.0
95570143.52031524,4879809.432746246,28055392.50677958,273600531.15261644,2110297302.1288557,119770723.66070494,1320382407.2299457,2919661.530013992,436185126.26568854,1.0
3331691859.544611,68203283.58714253,1585355067.0590472,865843980.9355052,2110297302.1288557,1286440048.120829,8900726144.306734,34573158.9341037,436185126.26568854,-1.0
2150834.096997283,4879809.432746246,28055392.50677958,273600531.15261644,2110297302.1288557,1286440048.120829,6771036505.529403,2919661.530013992,436185126.26568854,1.0
8666138963.984962,180264213.12682104,1817952617.7730145,9963669009.720148,7671759072.444263,3866423820.111044,8978569934.178894,34894357.81882343,8156287230.8532,-1.0
7820866102.9109335,73700242.09043115,2206025545.088015,1144741132.8172886,3882588845.3057055,119770723.66070494,8900726144.306734,30633138.396313146,436185126.26568854,-1.0
133962673.04479899,4879809.432746246,28055392.50677958,273600531.15261644,2110297302.1288557,119770723.66070494,1320382407.2299457,2919661.530013992,436185126.26568854,1.0
133962673.04479899,4879809.432746246,28055392.50677958,273600531.15261644,2110297302.1288557,119770723.66070494,6771036505.529403,2919661.530013992,436185126.26568854,1.0
9758194530.490269,180264213.12682104,2292980075.636107,4581087332.872696,3684896949.141984,6330360922.587275,8900726144.306734,2919661.530013992,6284460076.504618,-1.0
3940760116.5110636,4879809.432746246,28055392.50677958,273600531.15261644,2110297302.1288557,119770723.66070494,6771036505.529403,2919661.530013992,436185126.26568854,1.0
7820866102.9109335,68203283.58714253,735468763.9119375,9963669009.720148,3764125006.787134,6330360922.587275,8978569934.178894,34573158.9341037,8156287230.8532,-1.0
9758194530.490269,84163230.67228392,1817952617.7730145,865843980.9355052,3882588845.3057055,3863501229.689688,9274979886.533928,9999977313.066938,436185126.26568854,-1.0
131345767.99371266,4879809.432746246,28055392.50677958,273600531.15261644,2110297302.1288557,119770723.66070494,1320382407.2299457,2919661.530013992,436185126.26568854,1.0
2150834.096997283,4879809.432746246,28055392.50677958,273600531.15261644,2110297302.1288557,119770723.66070494,6771036505.529403,2919661.530013992,436185126.26568854,1.0
3331691859.544611,51275717.85724266,1585355067.0590472,1144741132.8172886,2110297302.1288557,3863501229.689688,6771036505.529403,40303346.00746676,436185126.26568854,-1.0
131345767.99371266,51275717.85724266,28055392.50677958,273600531.15261644,94416825.79588223,119770723.66070494,1320382407.2299457,2919661.530013992,436185126.26568854,1.0
3331691859.544611,4879809.432746246,28055392.50677958,273600531.15261644,2110297302.1288557,119770723.66070494,1320382407.2299457,2919661.530013992,436185126.26568854,1.0
95570143.52031524,4879809.432746246,28055392.50677958,273600531.15261644,2110297302.1288557,119770723.66070494,1320382407.2299457,2919661.530013992,436185126.26568854,1.0
2150834.096997283,4879809.432746246,1585355067.0590472,273600531.15261644,2110297302.1288557,119770723.66070494,363612227.7556801,2919661.530013992,436185126.26568854,1.0
131345767.99371266,4879809.432746246,28055392.50677958,273600531.15261644,94416825.79588223,119770723.66070494,1320382407.2299457,2919661.530013992,436185126.26568854,1.0
