0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,label
4281475664.7355237,9999842821.147017,9993252597.565922,208545992.35194984,9999999870.174139,9999976915.046297,9932292865.3931,9995127212.930267,7929268802.79604,9890006599.068636,8151394622.410335,9901700262.752699,9997582428.402227,9712289845.323437,9999631758.755463,9999999906.29319,1475628010.6816764,9956612890.351446,9942671675.62995,9595435287.1,9038478343.43868,9058695269.322515,9999998143.761198,551390214.6325345,9994545532.374346,9997311746.281172,9447365254.320389,9944025359.52081,9754677030.64422,9928287789.09957,9999928774.035341,1
4281475716.72863,9984258433.562859,9998309574.619663,4447196699.1353655,9999999540.429482,9999983273.451988,9992212.612601649,2507736451.15713,7687902965.639398,7095858892.305023,1120707437.655847,27958856.201641746,9888158331.52621,2390926767.3181505,9953495880.528584,9999997229.003567,1473881829.5171194,2087526290.1422377,1752817844.207639,6018143373.513529,274246211.2472606,6265402691.165347,9999999593.989267,9859667277.326077,9996237898.753136,9980038710.343405,251086802.4904211,6486129510.58648,4209689290.0086656,9945860513.530058,1091764793.3982432,1
8741957479.536686,9984057601.3852,9994219677.465916,9692128314.77729,9999999689.762215,9999939831.153,8431962002.229437,9926570292.195507,7926896719.081124,9989596116.36773,7805160880.912273,4859502507.042505,9922897957.31849,2766223637.9152946,9998866800.069273,9999999739.460915,1475628009.1458027,9951333934.806961,9673212238.554705,9756006884.62037,8409345731.723388,6269192488.355914,9999998558.750435,9863180090.695234,9998147033.999254,9994748141.518316,8843737285.004974,8463183870.372858,9404212108.328955,9932670520.970346,9959262951.416231,1
8741957479.536686,9999993147.466215,609018386.0753249,9692069133.130491,385822251.2080148,585979244.7462951,9984201708.849407,9997662868.575235,7929165097.015062,9937848573.191896,8160506172.844668,9998946828.370333,9124823312.8792,9820871255.520638,9964868147.68702,5220692157.665014,6433720205.047618,9963939706.758717,9942672651.656029,9752969150.613234,9996249410.724426,9776772035.296438,2258311007.709496,9972032280.147123,949068103.7479465,92220996.20658807,9999254095.452728,9946364375.985779,9756531518.926243,9979402627.40129,9999984764.64322,1
8741957479.536686,8403568437.924311,9996657174.327202,2093077700.0951786,9999999876.062681,9999995679.421553,6487607554.772583,9254317156.760866,7928987925.898535,9970302507.35289,1118494494.9617183,4358335212.873505,9910601722.233742,2720200981.4229436,9999724387.622177,9999999717.95993,9642290706.187157,8895683128.861328,9949534906.225782,9753001822.586657,1249711523.038416,6269754648.575973,9999994698.345224,416910284.34893644,9992920625.113756,9979179706.963524,1237343846.8720155,6664630847.575649,9403306709.726368,9186062401.49489,368307146.49028915,1
4281475609.57087,9999844283.244188,934908575.2101116,3855053925.786902,1403560888.1889563,825748225.9680315,9961966973.476082,9926898959.010717,7926893096.461707,9853741243.335995,7810257771.149557,9378782161.336851,8796618258.387655,9425199843.003914,5698102244.783544,5209530043.8039055,1475659648.4004784,9680791290.994217,9673132544.734226,4872756810.37395,8368346260.132264,6269754826.32654,9347870392.93153,9860922408.294455,6593611690.961772,4454722697.725087,9598188784.07366,9608834181.630644,9538016273.048784,9622261224.958956,9966396739.45465,1
4281475580.2768855,9983105445.024582,9997876080.946554,9692067103.79284,9999999867.783995,9999937024.068794,5457753485.076533,8439785419.381796,7884652974.591394,8894717289.194227,1116398782.5814662,609489839.2074931,9093140079.542898,2704639489.0681205,9807752737.256443,9999994844.399792,1464657173.9114375,2250742176.610839,1941582577.9479446,4870917873.970826,219496156.38338202,2618581568.435279,9999997834.12897,9974630464.620417,9988018838.43761,9978894853.334063,8841055521.095867,8180467293.944992,9398761204.871773,9989730194.784071,3802054948.530682,1
8741957479.536686,9999625240.40043,8694449287.48691,9692108458.07525,8213162566.787519,6232612816.521359,9932294166.706068,9926847561.411928,7720821393.788827,5338293808.421311,7860250661.923911,9378782559.955086,9888870980.81088,9842140277.39313,9996465915.670095,9999564736.884417,4955838435.589062,9019475353.941437,8264503430.783016,8880690336.076477,976682991.729487,6269754980.961163,9999456543.02532,9974633236.8842,8221918327.279867,8791713007.627882,9494468065.97773,8460771777.681016,6375175047.010546,9091287304.739601,8235258857.997938,1
4281475732.694687,9999524171.532074,1011414412.5373592,9732096733.241203,6233947805.068281,855417719.4788607,9962741829.82411,9927951244.726622,7926914631.096462,9951878154.853928,8089326548.279304,9378665088.563951,8787612504.86237,9819882058.179884,5699740307.725091,3304638352.1244936,1475347172.2053401,9731704829.954723,9673011692.21711,5514687356.018946,8363290649.399511,6265537237.156681,9444413034.233967,9974759075.168873,6696625712.272891,4415130730.183578,9541305186.621553,9609321751.634119,9589984291.557724,9982643511.326637,9999668932.807178,1
8741957479.536686,9999995163.181627,935054599.5527648,9982558777.65175,2081260995.5118837,824894418.6089926,9932288975.330694,9993353693.495384,7929053191.732608,9970304349.51079,7804193556.254949,9955897259.117764,8786992517.413149,9850981130.603199,3211441967.453767,3146377072.2061157,1475637015.8204072,9958817443.109093,9949556956.907383,8880394781.97485,1257397283.4779165,9910714455.25183,2405875125.7752476,9998521830.498972,217219719.0355936,3227551355.706363,9622508403.357851,9940955983.763807,9778526713.800629,9945730977.788347,9999933658.804,1
